"group","reference","band","band_label","dist_min_m","dist_max_m","category_label","n_cells","area_ha","n_scanned_in_band","pct_of_scanned_in_band"
"lnth","water_2017",4,"30-50",30,50,"break_endpoint",1358,13.58,51112,2.66
"lnth","water_2017",4,"30-50",30,50,"break_sustained",1254,12.54,51112,2.45
"lnth","water_2017",4,"30-50",30,50,"stable",35016,350.16,51112,68.51
"lnth","water_2017",4,"30-50",30,50,"stable_flicker",10512,105.12,51112,20.57
"lnth","water_2017",4,"30-50",30,50,"unsettled",2972,29.72,51112,5.81
"lnth","water_2017",5,"50-100",50,100,"break_endpoint",1958,19.58,77852,2.52
"lnth","water_2017",5,"50-100",50,100,"break_sustained",1885,18.85,77852,2.42
"lnth","water_2017",5,"50-100",50,100,"stable",55652,556.52,77852,71.48
"lnth","water_2017",5,"50-100",50,100,"stable_flicker",13496,134.96,77852,17.34
"lnth","water_2017",5,"50-100",50,100,"unsettled",4861,48.61,77852,6.24
"lnth","water_2017",6,"100-200",100,200,"break_endpoint",3500,35,94138,3.72
"lnth","water_2017",6,"100-200",100,200,"break_sustained",2494,24.94,94138,2.65
"lnth","water_2017",6,"100-200",100,200,"stable",67418,674.18,94138,71.62
"lnth","water_2017",6,"100-200",100,200,"stable_flicker",14590,145.9,94138,15.5
"lnth","water_2017",6,"100-200",100,200,"unsettled",6136,61.36,94138,6.52
"lnth","water_2017",7,"200-500",200,500,"break_endpoint",9322,93.22,185138,5.04
"lnth","water_2017",7,"200-500",200,500,"break_sustained",4542,45.42,185138,2.45
"lnth","water_2017",7,"200-500",200,500,"stable",130444,1304.44,185138,70.46
"lnth","water_2017",7,"200-500",200,500,"stable_flicker",26184,261.84,185138,14.14
"lnth","water_2017",7,"200-500",200,500,"unsettled",14646,146.46,185138,7.91
"lnth","water_2017",8,">500",500,Inf,"break_endpoint",15813,158.13,517896,3.05
"lnth","water_2017",8,">500",500,Inf,"break_sustained",11388,113.88,517896,2.2
"lnth","water_2017",8,">500",500,Inf,"stable",407317,4073.17,517896,78.65
"lnth","water_2017",8,">500",500,Inf,"stable_flicker",52204,522.04,517896,10.08
"lnth","water_2017",8,">500",500,Inf,"unsettled",31174,311.74,517896,6.02
"lnth","edge_nonwater",1,"core",0,0,"break_endpoint",12298,122.98,95301,12.9
"lnth","edge_nonwater",1,"core",0,0,"break_sustained",5701,57.01,95301,5.98
"lnth","edge_nonwater",1,"core",0,0,"stable",23466,234.66,95301,24.62
"lnth","edge_nonwater",1,"core",0,0,"stable_flicker",28861,288.61,95301,30.28
"lnth","edge_nonwater",1,"core",0,0,"unsettled",24975,249.75,95301,26.21
"lnth","edge_nonwater",2,"0-10",0,10,"break_endpoint",4965,49.65,61771,8.04
"lnth","edge_nonwater",2,"0-10",0,10,"break_sustained",2827,28.27,61771,4.58
"lnth","edge_nonwater",2,"0-10",0,10,"stable",25307,253.07,61771,40.97
"lnth","edge_nonwater",2,"0-10",0,10,"stable_flicker",17479,174.79,61771,28.3
"lnth","edge_nonwater",2,"0-10",0,10,"unsettled",11193,111.93,61771,18.12
"lnth","edge_nonwater",3,"10-30",10,30,"break_endpoint",6861,68.61,114343,6
"lnth","edge_nonwater",3,"10-30",10,30,"break_sustained",4101,41.01,114343,3.59
"lnth","edge_nonwater",3,"10-30",10,30,"stable",63776,637.76,114343,55.78
"lnth","edge_nonwater",3,"10-30",10,30,"stable_flicker",25755,257.55,114343,22.52
"lnth","edge_nonwater",3,"10-30",10,30,"unsettled",13850,138.5,114343,12.11
"lnth","edge_nonwater",4,"30-50",30,50,"break_endpoint",4922,49.22,106966,4.6
